step,t_years,mean,std
0,0,1435.07,0.00118519
1,0.001,1435.37,10.7062
2,0.002,1435.69,17.1597
3,0.003,1436,21.786
4,0.004,1436.3,25.5868
5,0.005,1436.62,28.9018
6,0.006,1436.92,31.8694
7,0.007,1437.23,34.5892
8,0.008,1437.54,37.1199
9,0.009,1437.86,39.4914
10,0.01,1438.18,41.7275
11,0.011,1438.48,43.8518
12,0.012,1438.79,45.8824
13,0.013,1439.09,47.8241
14,0.014,1439.4,49.688
15,0.015,1439.72,51.4926
16,0.016,1440.04,53.2258
17,0.017,1440.35,54.9205
18,0.018,1440.67,56.5532
19,0.019,1440.98,58.1436
20,0.02,1441.28,59.6894
21,0.021,1441.61,61.2034
22,0.022,1441.92,62.6914
23,0.023,1442.22,64.1368
24,0.024,1442.53,65.5489
25,0.025,1442.85,66.9399
26,0.026,1443.16,68.2901
27,0.027,1443.46,69.6284
28,0.028,1443.76,70.9294
29,0.029,1444.07,72.2244
30,0.03,1444.37,73.4806
31,0.031,1444.68,74.7103
32,0.032,1444.99,75.9399
33,0.033,1445.3,77.1556
34,0.034,1445.61,78.3469
35,0.035,1445.91,79.5286
36,0.036,1446.22,80.6897
37,0.037,1446.52,81.8381
38,0.038,1446.83,82.9626
39,0.039,1447.14,84.0807
40,0.04,1447.45,85.1794
41,0.041,1447.76,86.2701
42,0.042,1448.08,87.3475
43,0.043,1448.38,88.4118
44,0.044,1448.69,89.4589
45,0.045,1449,90.5051
46,0.046,1449.3,91.5319
47,0.047,1449.61,92.557
48,0.048,1449.93,93.5714
49,0.049,1450.23,94.5656
50,0.05,1450.54,95.5612
51,0.051,1450.85,96.5426
52,0.052,1451.16,97.5163
53,0.053,1451.48,98.4713
54,0.054,1451.79,99.4245
55,0.055,1452.1,100.375
56,0.056,1452.41,101.307
57,0.057,1452.72,102.244
58,0.058,1453.03,103.163
59,0.059,1453.34,104.079
60,0.06,1453.65,104.988
61,0.061,1453.95,105.878
62,0.062,1454.26,106.779
63,0.063,1454.57,107.659
64,0.064,1454.89,108.547
65,0.065,1455.19,109.41
66,0.066,1455.5,110.262
67,0.067,1455.81,111.117
68,0.068,1456.13,111.973
69,0.069,1456.44,112.824
70,0.07,1456.76,113.675
71,0.071,1457.07,114.515
72,0.072,1457.37,115.345
73,0.073,1457.69,116.174
74,0.074,1458,116.992
75,0.075,1458.31,117.814
76,0.076,1458.63,118.614
77,0.077,1458.95,119.43
78,0.078,1459.26,120.229
79,0.079,1459.57,121.032
80,0.08,1459.88,121.815
81,0.081,1460.19,122.609
82,0.082,1460.5,123.392
83,0.083,1460.81,124.177
84,0.084,1461.11,124.965
85,0.085,1461.43,125.738
86,0.086,1461.74,126.522
87,0.087,1462.06,127.284
88,0.088,1462.37,128.034
89,0.089,1462.69,128.789
90,0.09,1463.01,129.544
91,0.091,1463.32,130.282
92,0.092,1463.64,131.028
93,0.093,1463.95,131.772
94,0.094,1464.26,132.508
95,0.095,1464.57,133.247
96,0.096,1464.88,133.983
97,0.097,1465.2,134.716
98,0.098,1465.52,135.449
99,0.099,1465.83,136.169
100,0.1,1466.15,136.872
101,0.101,1466.46,137.583
102,0.102,1466.77,138.299
103,0.103,1467.07,139.014
104,0.104,1467.39,139.731
105,0.105,1467.71,140.447
106,0.106,1468.03,141.158
107,0.107,1468.33,141.842
108,0.108,1468.64,142.544
109,0.109,1468.95,143.237
110,0.11,1469.26,143.919
111,0.111,1469.57,144.601
112,0.112,1469.89,145.294
113,0.113,1470.2,145.97
114,0.114,1470.51,146.649
115,0.115,1470.83,147.329
116,0.116,1471.15,148.01
117,0.117,1471.47,148.686
118,0.118,1471.8,149.363
119,0.119,1472.11,150.041
120,0.12,1472.43,150.701
121,0.121,1472.74,151.36
122,0.122,1473.07,152.02
123,0.123,1473.38,152.683
124,0.124,1473.7,153.338
125,0.125,1474.02,153.992
126,0.126,1474.32,154.658
127,0.127,1474.64,155.306
128,0.128,1474.96,155.955
129,0.129,1475.27,156.602
130,0.13,1475.58,157.246
131,0.131,1475.9,157.881
132,0.132,1476.2,158.532
133,0.133,1476.52,159.163
134,0.134,1476.84,159.804
135,0.135,1477.15,160.436
136,0.136,1477.48,161.065
137,0.137,1477.79,161.691
138,0.138,1478.11,162.32
139,0.139,1478.44,162.941
140,0.14,1478.74,163.555
141,0.141,1479.07,164.173
142,0.142,1479.38,164.804
143,0.143,1479.7,165.428
144,0.144,1480.02,166.051
