step,t_years,mean,std
0,0,1435.07,0.000886587
1,0.001,1435.38,10.7954
2,0.002,1435.69,17.2154
3,0.003,1436,21.8299
4,0.004,1436.31,25.6242
5,0.005,1436.62,28.9348
6,0.006,1436.92,31.8994
7,0.007,1437.24,34.6167
8,0.008,1437.55,37.1456
9,0.009,1437.86,39.5155
10,0.01,1438.18,41.7503
11,0.011,1438.48,43.8735
12,0.012,1438.79,45.9031
13,0.013,1439.1,47.8439
14,0.014,1439.41,49.7071
15,0.015,1439.72,51.511
16,0.016,1440.04,53.2436
17,0.017,1440.35,54.9377
18,0.018,1440.67,56.5698
19,0.019,1440.98,58.1598
20,0.02,1441.29,59.7051
21,0.021,1441.61,61.2187
22,0.022,1441.92,62.7064
23,0.023,1442.22,64.1515
24,0.024,1442.53,65.5632
25,0.025,1442.85,66.9539
26,0.026,1443.16,68.3038
27,0.027,1443.46,69.6418
28,0.028,1443.77,70.9426
29,0.029,1444.07,72.2373
30,0.03,1444.38,73.4933
31,0.031,1444.68,74.7228
32,0.032,1444.99,75.9521
33,0.033,1445.31,77.1677
34,0.034,1445.62,78.3587
35,0.035,1445.92,79.5403
36,0.036,1446.22,80.7012
37,0.037,1446.53,81.8494
38,0.038,1446.83,82.9738
39,0.039,1447.15,84.0917
40,0.04,1447.46,85.1902
41,0.041,1447.77,86.2808
42,0.042,1448.08,87.3581
43,0.043,1448.38,88.4222
44,0.044,1448.69,89.4692
45,0.045,1449,90.5153
46,0.046,1449.3,91.5419
47,0.047,1449.61,92.5669
48,0.048,1449.93,93.5812
49,0.049,1450.24,94.5753
50,0.05,1450.55,95.5708
51,0.051,1450.85,96.5521
52,0.052,1451.17,97.5256
53,0.053,1451.48,98.4806
54,0.054,1451.8,99.4337
55,0.055,1452.1,100.385
56,0.056,1452.41,101.316
57,0.057,1452.72,102.253
58,0.058,1453.03,103.172
59,0.059,1453.34,104.088
60,0.06,1453.65,104.996
61,0.061,1453.95,105.887
62,0.062,1454.26,106.788
63,0.063,1454.58,107.668
64,0.064,1454.89,108.555
65,0.065,1455.19,109.419
66,0.066,1455.5,110.27
67,0.067,1455.82,111.125
68,0.068,1456.13,111.981
69,0.069,1456.45,112.832
70,0.07,1456.76,113.683
71,0.071,1457.07,114.523
72,0.072,1457.38,115.353
73,0.073,1457.69,116.181
74,0.074,1458,117
75,0.075,1458.31,117.822
76,0.076,1458.63,118.621
77,0.077,1458.95,119.438
78,0.078,1459.27,120.236
79,0.079,1459.57,121.039
80,0.08,1459.88,121.823
81,0.081,1460.19,122.616
82,0.082,1460.5,123.399
83,0.083,1460.81,124.184
84,0.084,1461.12,124.972
85,0.085,1461.43,125.745
86,0.086,1461.75,126.529
87,0.087,1462.07,127.291
88,0.088,1462.37,128.041
89,0.089,1462.69,128.795
90,0.09,1463.02,129.551
91,0.091,1463.32,130.288
92,0.092,1463.64,131.035
93,0.093,1463.95,131.778
94,0.094,1464.26,132.515
95,0.095,1464.57,133.253
96,0.096,1464.88,133.99
97,0.097,1465.2,134.723
98,0.098,1465.52,135.455
99,0.099,1465.84,136.175
100,0.1,1466.15,136.878
101,0.101,1466.46,137.59
102,0.102,1466.77,138.305
103,0.103,1467.07,139.02
104,0.104,1467.39,139.737
105,0.105,1467.71,140.453
106,0.106,1468.03,141.164
107,0.107,1468.33,141.848
108,0.108,1468.64,142.55
109,0.109,1468.95,143.243
110,0.11,1469.26,143.925
111,0.111,1469.58,144.607
112,0.112,1469.89,145.3
113,0.113,1470.2,145.976
114,0.114,1470.51,146.654
115,0.115,1470.83,147.335
116,0.116,1471.15,148.016
117,0.117,1471.47,148.692
118,0.118,1471.8,149.369
119,0.119,1472.12,150.047
120,0.12,1472.43,150.707
121,0.121,1472.75,151.365
122,0.122,1473.07,152.026
123,0.123,1473.39,152.689
124,0.124,1473.7,153.343
125,0.125,1474.02,153.998
126,0.126,1474.33,154.663
127,0.127,1474.65,155.311
128,0.128,1474.96,155.96
129,0.129,1475.27,156.608
130,0.13,1475.59,157.251
131,0.131,1475.9,157.886
132,0.132,1476.21,158.537
133,0.133,1476.53,159.169
134,0.134,1476.84,159.809
135,0.135,1477.15,160.442
136,0.136,1477.48,161.07
137,0.137,1477.8,161.696
138,0.138,1478.12,162.325
139,0.139,1478.44,162.946
140,0.14,1478.75,163.56
141,0.141,1479.07,164.178
142,0.142,1479.39,164.809
143,0.143,1479.71,165.433
144,0.144,1480.02,166.056
145,0.145,1480.34,166.667
146,0.146,1480.65,167.284
147,0.147,1480.98,167.907
148,0.148,1481.29,168.519
149,0.149,1481.62,169.13
150,0.15,1481.94,169.741
151,0.151,1482.26,170.352
152,0.152,1482.58,170.961
153,0.153,1482.9,171.562
154,0.154,1483.21,172.155
155,0.155,1483.53,172.755
156,0.156,1483.84,173.349
157,0.157,1484.16,173.946
158,0.158,1484.47,174.545
159,0.159,1484.79,175.127
160,0.16,1485.11,175.715
161,0.161,1485.44,176.313
162,0.162,1485.75,176.902
163,0.163,1486.07,177.491
164,0.164,1486.39,178.086
165,0.165,1486.7,178.662
166,0.166,1487.01,179.243
167,0.167,1487.33,179.809
168,0.168,1487.64,180.389
169,0.169,1487.97,180.964
170,0.17,1488.29,181.541
171,0.171,1488.61,182.121
172,0.172,1488.93,182.689
173,0.173,1489.24,183.262
174,0.174,1489.56,183.851
175,0.175,1489.88,184.419
176,0.176,1490.19,184.99
177,0.177,1490.51,185.559
178,0.178,1490.84,186.127
179,0.179,1491.15,186.706
180,0.18,1491.47,187.263
181,0.181,1491.79,187.829
182,0.182,1492.11,188.394
183,0.183,1492.43,188.968
184,0.184,1492.76,189.534
185,0.185,1493.08,190.096
186,0.186,1493.41,190.655
187,0.187,1493.73,191.215
188,0.188,1494.05,191.755
189,0.189,1494.38,192.302
190,0.19,1494.7,192.855
191,0.191,1495.03,193.409
192,0.192,1495.34,193.951
193,0.193,1495.65,194.507
194,0.194,1495.98,195.06
195,0.195,1496.3,195.614
196,0.196,1496.62,196.154
197,0.197,1496.94,196.705
198,0.198,1497.26,197.247
199,0.199,1497.58,197.79
200,0.2,1497.9,198.335
201,0.201,1498.21,198.862
202,0.202,1498.54,199.398
203,0.203,1498.85,199.932
204,0.204,1499.17,200.479
205,0.205,1499.49,201.018
206,0.206,1499.81,201.569
207,0.207,1500.12,202.105
208,0.208,1500.45,202.637
209,0.209,1500.77,203.171
210,0.21,1501.1,203.714
211,0.211,1501.41,204.244
212,0.212,1501.73,204.782
213,0.213,1502.04,205.308
214,0.214,1502.35,205.842
215,0.215,1502.68,206.37
216,0.216,1503,206.906
217,0.217,1503.33,207.425
218,0.218,1503.65,207.94
219,0.219,1503.98,208.458
220,0.22,1504.3,208.987
221,0.221,1504.62,209.518
222,0.222,1504.95,210.041
223,0.223,1505.27,210.572
224,0.224,1505.59,211.106
225,0.225,1505.93,211.631
226,0.226,1506.24,212.166
227,0.227,1506.57,212.683
228,0.228,1506.88,213.191
229,0.229,1507.21,213.713
230,0.23,1507.53,214.23
231,0.231,1507.86,214.743
232,0.232,1508.18,215.249
233,0.233,1508.51,215.769
234,0.234,1508.83,216.288
235,0.235,1509.15,216.811
236,0.236,1509.48,217.326
237,0.237,1509.8,217.837
238,0.238,1510.12,218.348
239,0.239,1510.44,218.853
240,0.24,1510.77,219.359
241,0.241,1511.09,219.872
242,0.242,1511.41,220.374
243,0.243,1511.74,220.886
244,0.244,1512.07,221.391
245,0.245,1512.39,221.888
246,0.246,1512.72,222.396
247,0.247,1513.04,222.901
248,0.248,1513.37,223.412
249,0.249,1513.7,223.908
250,0.25,1514.02,224.413
251,0.251,1514.35,224.912
252,0.252,1514.68,225.406
253,0.253,1514.99,225.913
254,0.254,1515.32,226.411
255,0.255,1515.65,226.909
256,0.256,1515.97,227.412
257,0.257,1516.3,227.908
258,0.258,1516.62,228.408
259,0.259,1516.93,228.903
260,0.26,1517.25,229.393
261,0.261,1517.57,229.895
262,0.262,1517.9,230.396
263,0.263,1518.23,230.89
264,0.264,1518.55,231.38
265,0.265,1518.88,231.876
266,0.266,1519.19,232.371
267,0.267,1519.51,232.86
268,0.268,1519.85,233.348
269,0.269,1520.17,233.841
270,0.27,1520.5,234.338
271,0.271,1520.82,234.823
272,0.272,1521.15,235.31
273,0.273,1521.47,235.803
274,0.274,1521.8,236.287
275,0.275,1522.12,236.77
276,0.276,1522.44,237.252
277,0.277,1522.77,237.734
278,0.278,1523.1,238.222
279,0.279,1523.42,238.72
280,0.28,1523.74,239.205
281,0.281,1524.07,239.7
282,0.282,1524.4,240.194
283,0.283,1524.73,240.68
284,0.284,1525.06,241.174
285,0.285,1525.38,241.653
286,0.286,1525.72,242.142
287,0.287,1526.05,242.623
288,0.288,1526.38,243.113
289,0.289,1526.71,243.595
290,0.29,1527.04,244.074
291,0.291,1527.37,244.554
292,0.292,1527.7,245.026
293,0.293,1528.03,245.506
294,0.294,1528.36,245.982
295,0.295,1528.68,246.459
296,0.296,1529,246.934
297,0.297,1529.33,247.418
298,0.298,1529.65,247.897
299,0.299,1529.98,248.372
300,0.3,1530.32,248.84
301,0.301,1530.65,249.321
302,0.302,1530.98,249.792
303,0.303,1531.31,250.272
304,0.304,1531.64,250.737
305,0.305,1531.98,251.212
306,0.306,1532.31,251.7
307,0.307,1532.65,252.191
308,0.308,1532.99,252.667
309,0.309,1533.33,253.135
310,0.31,1533.65,253.607
311,0.311,1533.97,254.076
312,0.312,1534.3,254.541
313,0.313,1534.61,255.011
