step,t_years,mean,std
210,0.21,1500.92,204.09
211,0.211,1501.24,204.626
212,0.212,1501.56,205.147
213,0.213,1501.89,205.681
214,0.214,1502.21,206.207
215,0.215,1502.52,206.74
216,0.216,1502.84,207.267
217,0.217,1503.16,207.795
218,0.218,1503.49,208.321
219,0.219,1503.82,208.848
220,0.22,1504.14,209.373
221,0.221,1504.47,209.901
222,0.222,1504.79,210.425
223,0.223,1505.12,210.945
224,0.224,1505.44,211.473
225,0.225,1505.77,211.997
226,0.226,1506.09,212.513
227,0.227,1506.41,213.028
228,0.228,1506.73,213.555
229,0.229,1507.06,214.074
230,0.23,1507.37,214.592
231,0.231,1507.7,215.111
232,0.232,1508.02,215.621
233,0.233,1508.34,216.143
234,0.234,1508.66,216.66
235,0.235,1508.99,217.17
236,0.236,1509.3,217.686
237,0.237,1509.63,218.205
238,0.238,1509.95,218.715
239,0.239,1510.27,219.223
240,0.24,1510.59,219.736
241,0.241,1510.91,220.25
242,0.242,1511.24,220.766
243,0.243,1511.56,221.274
244,0.244,1511.89,221.788
245,0.245,1512.21,222.294
246,0.246,1512.53,222.801
247,0.247,1512.85,223.305
248,0.248,1513.17,223.81
249,0.249,1513.49,224.312
250,0.25,1513.81,224.82
251,0.251,1514.13,225.326
252,0.252,1514.46,225.832
253,0.253,1514.79,226.33
254,0.254,1515.11,226.833
255,0.255,1515.44,227.338
256,0.256,1515.76,227.84
257,0.257,1516.09,228.33
258,0.258,1516.42,228.824
259,0.259,1516.75,229.325
260,0.26,1517.07,229.829
261,0.261,1517.38,230.315
262,0.262,1517.71,230.808
263,0.263,1518.03,231.299
264,0.264,1518.36,231.796
265,0.265,1518.69,232.291
266,0.266,1519.02,232.794
267,0.267,1519.35,233.288
268,0.268,1519.67,233.791
269,0.269,1520,234.28
270,0.27,1520.33,234.772
271,0.271,1520.65,235.263
272,0.272,1520.98,235.765
273,0.273,1521.3,236.241
274,0.274,1521.62,236.727
275,0.275,1521.95,237.214
276,0.276,1522.29,237.706
277,0.277,1522.61,238.189
278,0.278,1522.94,238.669
279,0.279,1523.28,239.159
280,0.28,1523.6,239.649
281,0.281,1523.93,240.132
282,0.282,1524.26,240.615
283,0.283,1524.57,241.095
284,0.284,1524.9,241.584
285,0.285,1525.23,242.064
286,0.286,1525.55,242.539
287,0.287,1525.87,243.019
288,0.288,1526.2,243.492
289,0.289,1526.53,243.977
290,0.29,1526.85,244.453
291,0.291,1527.17,244.931
292,0.292,1527.49,245.417
293,0.293,1527.82,245.895
294,0.294,1528.15,246.368
295,0.295,1528.48,246.843
296,0.296,1528.81,247.318
297,0.297,1529.14,247.793
298,0.298,1529.47,248.268
299,0.299,1529.8,248.743
300,0.3,1530.14,249.219
301,0.301,1530.47,249.707
302,0.302,1530.8,250.179
303,0.303,1531.12,250.652
304,0.304,1531.46,251.134
305,0.305,1531.79,251.602
306,0.306,1532.12,252.079
307,0.307,1532.45,252.547
308,0.308,1532.77,253.01
309,0.309,1533.11,253.488
310,0.31,1533.43,253.947
311,0.311,1533.76,254.409
312,0.312,1534.08,254.882
313,0.313,1534.41,255.356
314,0.314,1534.75,255.823
315,0.315,1535.07,256.28
316,0.316,1535.4,256.746
317,0.317,1535.74,257.212
318,0.318,1536.07,257.676
319,0.319,1536.39,258.143
320,0.32,1536.72,258.612
321,0.321,1537.04,259.071
322,0.322,1537.37,259.532
323,0.323,1537.7,259.991
324,0.324,1538.03,260.452
325,0.325,1538.35,260.921
326,0.326,1538.68,261.386
327,0.327,1539.01,261.854
328,0.328,1539.35,262.328
329,0.329,1539.68,262.795
330,0.33,1540.01,263.263
331,0.331,1540.33,263.726
332,0.332,1540.66,264.177
333,0.333,1540.98,264.644
334,0.334,1541.32,265.109
335,0.335,1541.64,265.566
336,0.336,1541.97,266.021
337,0.337,1542.31,266.483
338,0.338,1542.65,266.948
339,0.339,1542.98,267.403
340,0.34,1543.31,267.868
341,0.341,1543.64,268.324
342,0.342,1543.97,268.773
343,0.343,1544.3,269.234
344,0.344,1544.62,269.69
345,0.345,1544.96,270.142
346,0.346,1545.29,270.595
347,0.347,1545.61,271.05
348,0.348,1545.94,271.505
349,0.349,1546.26,271.954
350,0.35,1546.6,272.414
351,0.351,1546.93,272.861
352,0.352,1547.26,273.317
353,0.353,1547.59,273.768
354,0.354,1547.92,274.225
355,0.355,1548.26,274.68
356,0.356,1548.59,275.12
357,0.357,1548.91,275.569
358,0.358,1549.25,276.023
359,0.359,1549.58,276.473
360,0.36,1549.9,276.919
361,0.361,1550.23,277.366
362,0.362,1550.56,277.814
363,0.363,1550.89,278.262
364,0.364,1551.23,278.718
365,0.365,1551.55,279.159
366,0.366,1551.89,279.607
367,0.367,1552.22,280.051
368,0.368,1552.55,280.503
369,0.369,1552.89,280.949
370,0.37,1553.22,281.398
371,0.371,1553.55,281.841
372,0.372,1553.89,282.298
373,0.373,1554.22,282.74
374,0.374,1554.55,283.188
375,0.375,1554.87,283.634
376,0.376,1555.21,284.075
377,0.377,1555.55,284.521
378,0.378,1555.88,284.97
379,0.379,1556.21,285.411
380,0.38,1556.55,285.859
381,0.381,1556.88,286.305
382,0.382,1557.21,286.753
383,0.383,1557.53,287.198
384,0.384,1557.87,287.647
385,0.385,1558.21,288.097
386,0.386,1558.54,288.538
387,0.387,1558.88,288.977
388,0.388,1559.21,289.424
389,0.389,1559.54,289.866
390,0.39,1559.88,290.306
391,0.391,1560.21,290.75
392,0.392,1560.55,291.194
393,0.393,1560.87,291.635
394,0.394,1561.21,292.076
395,0.395,1561.55,292.509
396,0.396,1561.88,292.953
397,0.397,1562.21,293.39
398,0.398,1562.54,293.823
399,0.399,1562.89,294.263
400,0.4,1563.21,294.69
401,0.401,1563.54,295.129
402,0.402,1563.88,295.57
403,0.403,1564.2,296.012
404,0.404,1564.54,296.445
405,0.405,1564.88,296.878
406,0.406,1565.21,297.314
407,0.407,1565.54,297.746
408,0.408,1565.87,298.173
409,0.409,1566.2,298.605
410,0.41,1566.53,299.039
411,0.411,1566.87,299.48
412,0.412,1567.2,299.913
413,0.413,1567.53,300.346
414,0.414,1567.88,300.778
415,0.415,1568.22,301.204
416,0.416,1568.56,301.648
417,0.417,1568.9,302.088
418,0.418,1569.25,302.528
419,0.419,1569.58,302.965
420,0.42,1569.92,303.398
421,0.421,1570.26,303.833
422,0.422,1570.58,304.256
423,0.423,1570.91,304.69
424,0.424,1571.25,305.125
425,0.425,1571.58,305.563
426,0.426,1571.92,305.986
427,0.427,1572.26,306.417
428,0.428,1572.6,306.851
429,0.429,1572.93,307.274
430,0.43,1573.27,307.707
431,0.431,1573.61,308.13
432,0.432,1573.96,308.568
433,0.433,1574.3,309.001
434,0.434,1574.63,309.424
435,0.435,1574.98,309.863
436,0.436,1575.32,310.293
437,0.437,1575.66,310.721
438,0.438,1576,311.162
439,0.439,1576.34,311.59
440,0.44,1576.68,312.016
441,0.441,1577.01,312.443
442,0.442,1577.35,312.87
443,0.443,1577.69,313.297
444,0.444,1578.03,313.723
445,0.445,1578.38,314.152
446,0.446,1578.72,314.579
447,0.447,1579.06,315.006
448,0.448,1579.39,315.43
449,0.449,1579.74,315.86
450,0.45,1580.07,316.286
451,0.451,1580.4,316.711
452,0.452,1580.75,317.129
453,0.453,1581.09,317.557
454,0.454,1581.43,317.986
455,0.455,1581.76,318.405
456,0.456,1582.1,318.822
457,0.457,1582.44,319.238
458,0.458,1582.77,319.654
459,0.459,1583.11,320.075
460,0.46,1583.45,320.505
461,0.461,1583.78,320.927
462,0.462,1584.12,321.355
463,0.463,1584.47,321.781
464,0.464,1584.8,322.21
465,0.465,1585.14,322.629
466,0.466,1585.48,323.055
467,0.467,1585.81,323.471
468,0.468,1586.15,323.891
469,0.469,1586.49,324.309
470,0.47,1586.82,324.726
471,0.471,1587.16,325.151
472,0.472,1587.5,325.577
473,0.473,1587.84,325.988
474,0.474,1588.18,326.418
475,0.475,1588.51,326.831
476,0.476,1588.85,327.244
477,0.477,1589.19,327.666
478,0.478,1589.53,328.088
479,0.479,1589.86,328.498
480,0.48,1590.2,328.913
481,0.481,1590.54,329.339
482,0.482,1590.89,329.76
483,0.483,1591.22,330.168
484,0.484,1591.56,330.581
485,0.485,1591.9,331
486,0.486,1592.25,331.419
487,0.487,1592.58,331.836
488,0.488,1592.92,332.258
489,0.489,1593.27,332.673
490,0.49,1593.61,333.092
491,0.491,1593.95,333.517
492,0.492,1594.29,333.928
493,0.493,1594.63,334.344
494,0.494,1594.97,334.76
495,0.495,1595.31,335.171
496,0.496,1595.65,335.583
497,0.497,1595.99,336.001
498,0.498,1596.34,336.415
499,0.499,1596.68,336.842
500,0.5,1597.02,337.264
501,0.501,1597.36,337.675
502,0.502,1597.7,338.091
503,0.503,1598.04,338.5
504,0.504,1598.38,338.92
505,0.505,1598.72,339.344
506,0.506,1599.07,339.768
507,0.507,1599.42,340.193
508,0.508,1599.76,340.614
509,0.509,1600.1,341.027
510,0.51,1600.45,341.447
511,0.511,1600.78,341.851
512,0.512,1601.13,342.268
513,0.513,1601.47,342.689
514,0.514,1601.83,343.113
515,0.515,1602.17,343.513
516,0.516,1602.51,343.935
517,0.517,1602.86,344.349
518,0.518,1603.2,344.763
519,0.519,1603.54,345.186
520,0.52,1603.89,345.596
521,0.521,1604.24,346.014
522,0.522,1604.58,346.421
523,0.523,1604.92,346.839
524,0.524,1605.26,347.251
525,0.525,1605.6,347.653
526,0.526,1605.95,348.06
527,0.527,1606.29,348.472
528,0.528,1606.62,348.881
529,0.529,1606.96,349.29
530,0.53,1607.3,349.704
531,0.531,1607.64,350.117
532,0.532,1607.98,350.53
533,0.533,1608.32,350.938
534,0.534,1608.66,351.354
535,0.535,1609.02,351.773
536,0.536,1609.37,352.189
537,0.537,1609.7,352.595
538,0.538,1610.04,353.005
539,0.539,1610.38,353.411
540,0.54,1610.72,353.82
541,0.541,1611.08,354.236
542,0.542,1611.42,354.644
543,0.543,1611.77,355.053
544,0.544,1612.11,355.455
545,0.545,1612.45,355.862
546,0.546,1612.8,356.273
547,0.547,1613.14,356.672
548,0.548,1613.48,357.074
549,0.549,1613.83,357.481
550,0.55,1614.16,357.889
551,0.551,1614.51,358.304
552,0.552,1614.85,358.704
553,0.553,1615.19,359.12
554,0.554,1615.54,359.534
555,0.555,1615.88,359.949
556,0.556,1616.24,360.356
557,0.557,1616.59,360.771
558,0.558,1616.93,361.174
559,0.559,1617.28,361.582
560,0.56,1617.63,361.989
561,0.561,1617.98,362.404
562,0.562,1618.34,362.808
563,0.563,1618.68,363.208
564,0.564,1619.02,363.613
565,0.565,1619.37,364.018
566,0.566,1619.72,364.417
567,0.567,1620.06,364.818
568,0.568,1620.42,365.232
569,0.569,1620.77,365.642
570,0.57,1621.12,366.056
571,0.571,1621.47,366.452
572,0.572,1621.81,366.851
