step,t_years,mean,std
210,0.21,1501.16,203.885
211,0.211,1501.47,204.417
212,0.212,1501.79,204.954
213,0.213,1502.11,205.483
214,0.214,1502.43,206.018
215,0.215,1502.76,206.547
216,0.216,1503.08,207.082
217,0.217,1503.4,207.602
218,0.218,1503.73,208.126
219,0.219,1504.05,208.647
220,0.22,1504.37,209.177
221,0.221,1504.69,209.702
222,0.222,1505.01,210.232
223,0.223,1505.34,210.764
224,0.224,1505.66,211.29
225,0.225,1505.99,211.815
226,0.226,1506.3,212.339
227,0.227,1506.62,212.855
228,0.228,1506.94,213.369
229,0.229,1507.27,213.892
230,0.23,1507.59,214.416
231,0.231,1507.91,214.929
232,0.232,1508.24,215.447
233,0.233,1508.57,215.971
234,0.234,1508.89,216.489
235,0.235,1509.21,217.002
236,0.236,1509.53,217.52
237,0.237,1509.86,218.023
238,0.238,1510.18,218.538
239,0.239,1510.5,219.041
240,0.24,1510.83,219.555
241,0.241,1511.14,220.064
242,0.242,1511.47,220.564
243,0.243,1511.79,221.074
244,0.244,1512.12,221.577
245,0.245,1512.44,222.077
246,0.246,1512.77,222.588
247,0.247,1513.09,223.098
248,0.248,1513.41,223.603
249,0.249,1513.74,224.102
250,0.25,1514.07,224.607
251,0.251,1514.4,225.1
252,0.252,1514.73,225.6
253,0.253,1515.05,226.104
254,0.254,1515.37,226.601
255,0.255,1515.7,227.104
256,0.256,1516.03,227.605
257,0.257,1516.35,228.101
258,0.258,1516.68,228.6
259,0.259,1516.99,229.097
260,0.26,1517.31,229.59
261,0.261,1517.63,230.088
262,0.262,1517.96,230.584
263,0.263,1518.28,231.076
264,0.264,1518.6,231.57
265,0.265,1518.93,232.065
266,0.266,1519.25,232.555
267,0.267,1519.57,233.041
268,0.268,1519.9,233.529
269,0.269,1520.23,234.024
270,0.27,1520.56,234.522
271,0.271,1520.88,235.009
272,0.272,1521.21,235.491
273,0.273,1521.54,235.98
274,0.274,1521.86,236.461
275,0.275,1522.19,236.942
276,0.276,1522.52,237.432
277,0.277,1522.85,237.919
278,0.278,1523.18,238.405
279,0.279,1523.51,238.898
280,0.28,1523.84,239.383
281,0.281,1524.16,239.873
282,0.282,1524.5,240.363
283,0.283,1524.82,240.845
284,0.284,1525.15,241.331
285,0.285,1525.48,241.81
286,0.286,1525.81,242.289
287,0.287,1526.14,242.774
288,0.288,1526.46,243.256
289,0.289,1526.79,243.739
290,0.29,1527.12,244.218
291,0.291,1527.44,244.698
292,0.292,1527.77,245.17
293,0.293,1528.1,245.647
294,0.294,1528.42,246.123
295,0.295,1528.75,246.6
296,0.296,1529.08,247.072
297,0.297,1529.41,247.553
298,0.298,1529.73,248.031
299,0.299,1530.05,248.504
300,0.3,1530.38,248.969
301,0.301,1530.7,249.454
302,0.302,1531.02,249.926
303,0.303,1531.36,250.403
304,0.304,1531.69,250.868
305,0.305,1532.01,251.343
306,0.306,1532.34,251.821
307,0.307,1532.68,252.305
308,0.308,1533.01,252.782
309,0.309,1533.35,253.249
310,0.31,1533.67,253.715
311,0.311,1534,254.184
312,0.312,1534.32,254.649
313,0.313,1534.65,255.114
314,0.314,1534.98,255.583
315,0.315,1535.3,256.053
316,0.316,1535.64,256.522
317,0.317,1535.96,256.986
318,0.318,1536.29,257.455
319,0.319,1536.62,257.923
320,0.32,1536.95,258.388
321,0.321,1537.27,258.864
322,0.322,1537.61,259.333
323,0.323,1537.94,259.789
324,0.324,1538.27,260.252
325,0.325,1538.6,260.72
326,0.326,1538.92,261.182
327,0.327,1539.25,261.64
328,0.328,1539.57,262.098
329,0.329,1539.91,262.567
330,0.33,1540.23,263.028
331,0.331,1540.56,263.489
332,0.332,1540.89,263.956
333,0.333,1541.23,264.419
334,0.334,1541.56,264.872
335,0.335,1541.89,265.338
336,0.336,1542.21,265.792
337,0.337,1542.55,266.252
338,0.338,1542.87,266.709
339,0.339,1543.2,267.169
340,0.34,1543.53,267.624
341,0.341,1543.86,268.071
342,0.342,1544.19,268.527
343,0.343,1544.52,268.977
344,0.344,1544.84,269.43
345,0.345,1545.18,269.878
346,0.346,1545.51,270.335
347,0.347,1545.83,270.783
348,0.348,1546.16,271.242
349,0.349,1546.49,271.694
350,0.35,1546.83,272.139
351,0.351,1547.17,272.601
352,0.352,1547.5,273.06
353,0.353,1547.83,273.512
354,0.354,1548.17,273.965
355,0.355,1548.5,274.423
356,0.356,1548.84,274.873
357,0.357,1549.17,275.338
358,0.358,1549.51,275.786
359,0.359,1549.84,276.245
360,0.36,1550.16,276.705
361,0.361,1550.49,277.162
362,0.362,1550.82,277.604
363,0.363,1551.16,278.054
364,0.364,1551.48,278.512
365,0.365,1551.81,278.963
366,0.366,1552.15,279.408
367,0.367,1552.48,279.852
368,0.368,1552.81,280.304
369,0.369,1553.15,280.749
370,0.37,1553.48,281.201
371,0.371,1553.81,281.651
372,0.372,1554.15,282.094
373,0.373,1554.48,282.535
374,0.374,1554.81,282.988
375,0.375,1555.14,283.433
376,0.376,1555.49,283.887
377,0.377,1555.82,284.34
378,0.378,1556.16,284.782
379,0.379,1556.5,285.225
380,0.38,1556.83,285.668
381,0.381,1557.17,286.115
382,0.382,1557.49,286.548
383,0.383,1557.83,286.998
384,0.384,1558.17,287.442
385,0.385,1558.5,287.885
386,0.386,1558.84,288.331
387,0.387,1559.17,288.769
388,0.388,1559.5,289.21
389,0.389,1559.84,289.662
390,0.39,1560.17,290.1
